,movie_and_date,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,index,tconst,primary_title,original_title,start_year,runtime_minutes,genres,profit,profit_ratio,profit_lmh
1043,Thor: The Dark World_2013,66,2013-11-08,Thor: The Dark World,150000000,206362140,644602516,2013,24315,tt1981115,Thor: The Dark World,Thor: The Dark World,2013,112.0,"Action,Adventure,Fantasy",494602516,4.297350106666666,high
1044,Hansel & Gretel: Witch Hunters_2013,27,2013-01-25,Hansel & Gretel: Witch Hunters,50000000,55703475,214949716,2013,7512,tt1428538,Hansel & Gretel: Witch Hunters,Hansel & Gretel: Witch Hunters,2013,88.0,"Action,Fantasy,Horror",164949716,4.29899432,high
1045,Moonrise Kingdom_2012,33,2012-05-25,Moonrise Kingdom,16000000,45512466,68848446,2012,15865,tt1748122,Moonrise Kingdom,Moonrise Kingdom,2012,94.0,"Adventure,Comedy,Drama",52848446,4.303027875,high
1046,Arrival_2016,34,2016-11-11,Arrival,47000000,100546139,203127894,2016,42473,tt2543164,Arrival,Arrival,2016,116.0,"Drama,Mystery,Sci-Fi",156127894,4.321870085106383,high
1047,Dear White People_2014,51,2014-10-17,Dear White People,1250000,4404154,5403771,2014,32970,tt2235108,Dear White People,Dear White People,2014,108.0,"Comedy,Drama,Romance",4153771,4.3230168,high
1048,The Emoji Movie_2017,7,2017-07-28,The Emoji Movie,50000000,86089513,216562312,2017,84341,tt4877122,The Emoji Movie,The Emoji Movie,2017,86.0,"Adventure,Animation,Comedy",166562312,4.33124624,high
1049,Central Intelligence_2016,91,2016-06-17,Central Intelligence,50000000,127440871,217194805,2016,8209,tt1489889,Central Intelligence,Central Intelligence,2016,107.0,"Action,Comedy,Crime",167194805,4.3438961,high
1050,Alvin and the Chipmunks: Chipwrecked_2011,49,2011-12-16,Alvin and the Chipmunks: Chipwrecked,80000000,133107389,349088523,2011,10975,tt1615918,Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmunks: Chipwrecked,2011,87.0,"Adventure,Animation,Comedy",269088523,4.3636065375,high
1051,Source Code_2011,96,2011-04-01,Source Code,32000000,54712227,140428499,2011,475,tt0945513,Source Code,Source Code,2011,93.0,"Action,Drama,Sci-Fi",108428499,4.38839059375,high
1052,Fifty Shades of Black_2016,15,2016-01-29,Fifty Shades of Black,5000000,11686940,22113075,2016,81189,tt4667094,Fifty Shades of Black,Fifty Shades of Black,2016,92.0,Comedy,17113075,4.422615,high
1053,Kung Fu Panda 2_2011,74,2011-05-26,Kung Fu Panda 2,150000000,165249063,664837547,2011,6463,tt1302011,Kung Fu Panda 2,Kung Fu Panda 2,2011,90.0,"Action,Adventure,Animation",514837547,4.432250313333333,high
1054,Hope Springs_2012,75,2012-08-08,Hope Springs,30000000,63536011,133085295,2012,8943,tt1535438,Hope Springs,Hope Springs,2012,100.0,"Comedy,Drama,Romance",103085295,4.4361765,high
1055,Non-Stop_2014,2,2014-02-28,Non-Stop,50000000,91742160,222383055,2014,25693,tt2024469,Non-Stop,Non-Stop,2014,106.0,"Action,Mystery,Thriller",172383055,4.4476611,high
1056,Hotel Transylvania_2012,96,2012-09-28,Hotel Transylvania,85000000,148313048,378505812,2012,336,tt0837562,Hotel Transylvania,Hotel Transylvania,2012,91.0,"Animation,Comedy,Family",293505812,4.453009552941176,high
1057,Fantastic Beasts and Where to Find Them_2016,85,2016-11-18,Fantastic Beasts and Where to Find Them,180000000,234037575,802402853,2016,54150,tt3183660,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,2016,132.0,"Adventure,Family,Fantasy",622402853,4.457793627777778,high
1058,Blockers_2018,60,2018-04-06,Blockers,21000000,60311495,94045328,2018,42315,tt2531344,Blockers,Blockers,2018,102.0,Comedy,73045328,4.478348952380952,high
1059,Django Unchained_2012,69,2012-12-25,Django Unchained,100000000,162805434,449948323,2012,20342,tt1853728,Django Unchained,Django Unchained,2012,165.0,"Drama,Western",349948323,4.49948323,high
1060,The Intruder_2019,72,2019-05-03,The Intruder,8000000,35095904,36005871,2019,113914,tt6722030,The Intruder,The Intruder,2019,102.0,"Drama,Horror,Mystery",28005871,4.500733875,high
1061,Guardians of the Galaxy_2014,14,2014-08-01,Guardians of the Galaxy,170000000,333172112,770867516,2014,25432,tt2015381,Guardians of the Galaxy,Guardians of the Galaxy,2014,121.0,"Action,Adventure,Comedy",600867516,4.5345148,high
1062,Coco_2017,2,2017-11-22,Coco,175000000,209726015,798008101,2017,38424,tt2380307,Coco,Coco,2017,105.0,"Adventure,Animation,Comedy",623008101,4.560046291428572,high
1063,Coco_2017,2,2017-11-22,Coco,175000000,209726015,798008101,2017,117464,tt7002100,Coco,Coco,2017,98.0,Horror,623008101,4.560046291428572,high
1064,Captain America: Civil War_2016,17,2016-05-06,Captain America: Civil War,250000000,408084349,1140069413,2016,60379,tt3498820,Captain America: Civil War,Captain America: Civil War,2016,147.0,"Action,Adventure,Sci-Fi",890069413,4.560277652,high
1065,Bumblebee_2018,62,2018-12-21,Bumblebee,102000000,127195589,465195589,2018,81807,tt4701182,Bumblebee,Bumblebee,2018,114.0,"Action,Adventure,Sci-Fi",363195589,4.5607410686274505,high
1066,A Bad Moms Christmas_2017,40,2017-11-01,A Bad Moms Christmas,28000000,72110659,127710550,2017,108386,tt6359956,A Bad Moms Christmas,A Bad Moms Christmas,2017,104.0,"Adventure,Comedy",99710550,4.561091071428572,high
1067,Now You See Me_2013,41,2013-05-31,Now You See Me,75000000,117723989,342769200,2013,12788,tt1670345,Now You See Me,Now You See Me,2013,115.0,"Crime,Mystery,Thriller",267769200,4.570256,high
1068,Shrek Forever After_2010,27,2010-05-21,Shrek Forever After,165000000,238736787,756244673,2010,424,tt0892791,Shrek Forever After,Shrek Forever After,2010,93.0,"Adventure,Animation,Comedy",591244673,4.583301048484849,high
1069,The Greatest Showman_2017,25,2017-12-20,The Greatest Showman,84000000,174340174,386665550,2017,8163,tt1485796,The Greatest Showman,The Greatest Showman,2017,105.0,"Biography,Drama,Musical",302665550,4.603161309523809,high
1070,Spotlight_2015,34,2015-11-06,Spotlight,20000000,45055776,92088460,2015,21849,tt1895587,Spotlight,Spotlight,2015,129.0,"Crime,Drama",72088460,4.604423,high
1071,Spotlight_2015,34,2015-11-06,Spotlight,20000000,45055776,92088460,2015,127219,tt7785302,Spotlight,Spotlight,2015,99.0,Drama,72088460,4.604423,high
1072,The Last Song_2010,15,2010-03-31,The Last Song,20000000,62950384,92678948,2010,6412,tt1294226,The Last Song,The Last Song,2010,107.0,"Drama,Music,Romance",72678948,4.6339474,high
